Status,Module,File Time Stamp,Link Time Stamp,File Size,Attr.,Link Checksum,Real Checksum,CPU,Subsystem,Symbols,Preferred Base,Actual Base,Virtual Size,Load Order,File Ver,Product Ver,Image Ver,Linker Ver,OS Ver,Subsystem Ver
DE,"c:\windows\system32\TBS.DLL",2018-09-15 00:28:59,2019-01-31 08:50:21,42576,A,0x00015C7D,0x00015C7D,x86,Console,"CV,Unknown",0x10000000,Unknown,0x0000C000,Not Loaded,10.0.17763.1,10.0.17763.1,10.0,14.13,10.0,10.0
DE,"c:\windows\system32\TEXTINPUTFRAMEWORK.DLL",2018-09-15 00:29:05,2024-11-07 08:11:31,542504,A,0x00090053,0x00090053,x86,Console,"CV,Unknown",0x30000000,Unknown,0x00086000,Not Loaded,10.0.17763.1,10.0.17763.1,10.0,14.13,10.0,10.0
DE,"c:\windows\system32\TOKENBINDING.DLL",2018-09-15 00:29:08,2057-08-09 16:49:29,34304,A,0x00008CB1,0x00008CB1,x86,Console,"CV,Unknown",0x10000000,Unknown,0x0000D000,Not Loaded,10.0.17763.1,10.0.17763.1,10.0,14.13,10.0,10.0
DE,"c:\windows\system32\TPMCOREPROVISIONING.DLL",2018-09-15 00:28:59,2039-06-10 01:14:30,702976,A,0x000ABC9A,0x000ABC9A,x86,Console,"CV,Unknown",0x10000000,Unknown,0x000B0000,Not Loaded,10.0.17763.1,10.0.17763.1,10.0,14.13,10.0,10.0
DE,"c:\windows\system32\TWINAPI.APPCORE.DLL",2019-03-09 02:14:11,2023-12-04 18:03:11,1720936,A,0x001A8FAF,0x001A8FAF,x86,GUI,"CV,Unknown",0x10000000,Unknown,0x001A3000,Not Loaded,10.0.17763.292,10.0.17763.292,10.0,14.13,10.0,10.0
DE,"c:\windows\system32\TWINAPI.DLL",2018-09-15 00:29:03,1983-04-04 18:56:30,499200,A,0x000853A0,0x000853A0,x86,GUI,"CV,Unknown",0x10000000,Unknown,0x0007E000,Not Loaded,10.0.17763.1,10.0.17763.1,10.0,14.13,10.0,10.0
DE,"c:\windows\system32\UIAUTOMATIONCORE.DLL",2018-09-15 00:29:03,1986-05-25 01:11:49,2004992,A,0x001F62AF,0x001F62AF,x86,GUI,"CV,Unknown",0x10000000,Unknown,0x001F0000,Not Loaded,7.2.17763.1,10.0.17763.1,10.0,14.13,10.0,10.0
DE,"c:\windows\system32\URLMON.DLL",2019-04-20 23:50:31,2059-05-24 06:44:10,1760768,A,0x001B5F6E,0x001B5F6E,x86,GUI,"CV,Unknown",0x1A400000,Unknown,0x001BC000,Not Loaded,11.0.17763.404,11.0.17763.404,10.0,14.13,10.0,10.0
DE,"c:\windows\system32\USERDATATYPEHELPERUTIL.DLL",2018-09-15 00:29:05,2084-11-20 22:12:15,37888,A,0x00017D06,0x00017D06,x86,Console,"CV,Unknown",0x10000000,Unknown,0x0000E000,Not Loaded,10.0.17763.1,10.0.17763.1,10.0,14.13,10.0,10.0
DE,"c:\windows\system32\USERENV.DLL",2018-09-15 00:29:08,2020-03-26 21:24:42,137056,A,0x00024B2B,0x00024B2B,x86,GUI,"CV,Unknown",0x52880000,Unknown,0x00023000,Not Loaded,10.0.17763.1,10.0.17763.1,10.0,14.13,10.0,10.0
DE,"c:\windows\system32\UXTHEME.DLL",2018-09-15 00:29:02,2004-09-20 03:50:52,481280,A,0x0007D786,0x0007D786,x86,GUI,"CV,Unknown",0x71B00000,Unknown,0x0007B000,Not Loaded,10.0.17763.1,10.0.17763.1,10.0,14.13,10.0,10.0
DE,"c:\windows\system32\VAULTCLI.DLL",2018-09-15 00:29:05,2004-10-29 18:11:17,224256,A,0x0003A77A,0x0003A77A,x86,Console,"CV,Unknown",0x10000000,Unknown,0x00039000,Not Loaded,10.0.17763.1,10.0.17763.1,10.0,14.13,10.0,10.0
DE,"c:\windows\system32\VERSION.DLL",2018-09-15 00:29:13,2093-11-14 17:41:13,27328,A,0x00010CC2,0x00010CC2,x86,GUI,"CV,Unknown",0x52180000,Unknown,0x00008000,Not Loaded,10.0.17763.1,10.0.17763.1,10.0,14.13,10.0,10.0
DE,"c:\windows\system32\VIRTDISK.DLL",2018-09-15 00:29:07,2050-11-07 17:29:48,57360,A,0x00010ED2,0x00010ED2,x86,Console,"CV,Unknown",0x10000000,Unknown,0x0000F000,Not Loaded,10.0.17763.1,10.0.17763.1,10.0,14.13,10.0,10.0
DE,"c:\windows\system32\W32TOPL.DLL",2018-09-15 00:29:02,2073-01-01 20:17:15,28160,A,0x00008D06,0x00008D06,x86,Console,"CV,Unknown",0x4F200000,Unknown,0x0000B000,Not Loaded,10.0.17763.1,10.0.17763.1,10.0,14.13,10.0,10.0
DE,"c:\windows\system32\WDSCORE.DLL",2018-09-15 00:28:45,2077-03-18 08:41:29,201016,A,0x000320CC,0x000320CC,x86,Console,"CV,Unknown",0x10000000,Unknown,0x00034000,Not Loaded,10.0.17763.1,10.0.17763.1,10.0,14.13,10.0,6.0
DE,"c:\windows\system32\WEBAUTHN.DLL",2018-09-15 00:29:05,1998-04-19 18:21:24,328704,A,0x0005112D,0x0005112D,x86,Console,"CV,Unknown",0x10000000,Unknown,0x00054000,Not Loaded,10.0.17763.1,10.0.17763.1,10.0,14.13,10.0,10.0
DE,"c:\windows\system32\WEBIO.DLL",2018-09-15 00:29:07,1978-03-25 11:58:33,460288,A,0x0007AC35,0x0007AC35,x86,Console,"CV,Unknown",0x10000000,Unknown,0x00075000,Not Loaded,10.0.17763.1,10.0.17763.1,10.0,14.13,10.0,10.0
DE,"c:\windows\system32\WEBSERVICES.DLL",2018-09-15 00:29:05,1992-04-18 23:39:42,948288,A,0x000F692C,0x000F692C,x86,Console,"CV,Unknown",0x10000000,Unknown,0x000E8000,Not Loaded,10.0.17763.1,10.0.17763.1,10.0,14.13,10.0,10.0
DE,"c:\windows\system32\WEBSOCKET.DLL",2018-09-15 00:29:08,2055-01-02 08:58:54,37376,A,0x0000BF16,0x0000BF16,x86,Console,"CV,Unknown",0x10000000,Unknown,0x0000D000,Not Loaded,10.0.17763.1,10.0.17763.1,10.0,14.13,10.0,10.0
DE,"c:\windows\system32\WER.DLL",2019-03-24 07:20:47,1997-12-31 01:46:36,680184,A,0x000AC00D,0x000AC00D,x86,Console,"CV,Unknown",0x10000000,Unknown,0x000A9000,Not Loaded,10.0.17763.379,10.0.17763.379,10.0,14.13,10.0,10.0
DE,"c:\windows\system32\WEVTAPI.DLL",2019-04-20 23:49:17,2029-06-24 04:24:25,283032,A,0x0004AD89,0x0004AD89,x86,Console,"CV,Unknown",0x10000000,Unknown,0x00047000,Not Loaded,10.0.17763.404,10.0.17763.404,10.0,14.13,10.0,10.0
DE,"c:\windows\system32\WINBRAND.DLL",2018-09-15 00:29:07,2009-04-25 14:33:22,149488,A,0x00032F2B,0x00032F2B,x86,Console,"CV,Unknown",0x10000000,Unknown,0x00027000,Not Loaded,10.0.17763.1,10.0.17763.1,10.0,14.13,10.0,10.0
DE,"c:\windows\system32\WINDOWSCODECS.DLL",2018-10-29 15:39:46,2024-08-18 19:51:44,1520208,A,0x001736C1,0x001736C1,x86,GUI,"CV,Unknown",0x53000000,Unknown,0x00171000,Not Loaded,10.0.17763.55,10.0.17763.55,10.0,14.13,10.0,10.0
DE,"c:\windows\system32\WINDOWSPERFORMANCERECORDERCONTROL.DLL",2018-09-15 00:29:07,1990-04-06 21:43:34,886272,A,0x000DDDEC,0x000DDDEC,x86,Console,"CV,Unknown",0x10000000,Unknown,0x000DC000,Not Loaded,10.0.17763.1,10.0.17763.1,10.0,14.13,10.0,6.2
DE,"c:\windows\system32\WINHTTP.DLL",2019-04-20 23:49:16,2010-11-01 02:41:53,766480,A,0x000BD25A,0x000BD25A,x86,GUI,"CV,Unknown",0x76080000,Unknown,0x000BD000,Not Loaded,10.0.17763.404,10.0.17763.404,10.0,14.13,10.0,10.0
DE,"c:\windows\system32\WININET.DLL",2019-03-09 02:14:28,1988-12-04 01:47:48,4627456,A,0x0046D078,0x0046D078,x86,GUI,"CV,Unknown",0x63000000,Unknown,0x00471000,Not Loaded,11.0.17763.316,11.0.17763.316,10.0,14.13,10.0,10.0
DE,"c:\windows\system32\WINMM.DLL",2018-09-15 00:29:00,2054-10-13 22:27:35,134512,A,0x00029CBB,0x00029CBB,x86,GUI,"CV,Unknown",0x4F080000,Unknown,0x00024000,Not Loaded,10.0.17763.1,10.0.17763.1,10.0,14.13,10.0,10.0
DE,"c:\windows\system32\WINMMBASE.DLL",2018-09-15 00:29:00,2035-11-29 01:34:01,132392,A,0x000281D8,0x000281D8,x86,GUI,"CV,Unknown",0x10000000,Unknown,0x00023000,Not Loaded,10.0.17763.1,10.0.17763.1,10.0,14.13,10.0,10.0
DE,"c:\windows\system32\WINNSI.DLL",2018-09-15 00:28:45,1999-07-06 02:56:05,28352,A,0x00015162,0x00015162,x86,Console,"CV,Unknown",0x10000000,Unknown,0x00008000,Not Loaded,10.0.17763.1,10.0.17763.1,10.0,14.13,10.0,10.0
DE,"c:\windows\system32\WINSPOOL.DRV",2019-04-20 23:50:16,1987-03-26 06:45:12,414720,A,0x00066C98,0x00066C98,x86,GUI,"CV,Unknown",0x4CC80000,Unknown,0x0006B000,Not Loaded,10.0.17763.404,10.0.17763.404,10.0,14.13,10.0,10.0
DE,"c:\windows\system32\WINSTA.DLL",2018-09-15 00:29:02,2083-04-20 18:45:10,256704,A,0x00046C72,0x00046C72,x86,Console,"CV,Unknown",0x10000000,Unknown,0x00043000,Not Loaded,10.0.17763.1,10.0.17763.1,10.0,14.13,10.0,10.0
DE,"c:\windows\system32\WINTRUST.DLL",2019-03-24 07:21:58,2011-08-29 12:05:17,279376,A,0x0004B4F7,0x0004B4F7,x86,GUI,"CV,Unknown",0x47600000,Unknown,0x00045000,Not Loaded,10.0.17763.348,10.0.17763.348,10.0,14.13,10.0,10.0
DE,"c:\windows\system32\WKSCLI.DLL",2018-09-15 00:29:07,2105-02-02 18:51:12,57816,A,0x00016C68,0x00016C68,x86,Console,"CV,Unknown",0x10000000,Unknown,0x00010000,Not Loaded,10.0.17763.1,10.0.17763.1,10.0,14.13,10.0,10.0
DE,"c:\windows\system32\WLANAPI.DLL",2018-09-15 00:29:00,2007-02-28 17:34:21,333128,A,0x00056ECD,0x00056ECD,x86,Console,"CV,Unknown",0x10000000,Unknown,0x00053000,Not Loaded,10.0.17763.1,10.0.17763.1,10.0,14.13,10.0,10.0
DE,"c:\windows\system32\WLDAP32.DLL",2018-09-15 00:29:08,2004-08-15 01:21:53,321024,A,0x0004F82A,0x0004F82A,x86,GUI,"CV,Unknown",0x52100000,Unknown,0x00053000,Not Loaded,10.0.17763.1,10.0.17763.1,10.0,14.13,10.0,10.0
DE,"c:\windows\system32\WMICLNT.DLL",2018-09-15 00:29:00,2016-02-26 09:00:40,39936,A,0x0000FA5C,0x0000FA5C,x86,Console,"CV,Unknown",0x10000000,Unknown,0x0000E000,Not Loaded,10.0.17763.1,10.0.17763.1,10.0,14.13,10.0,10.0
DE,"c:\windows\system32\WPCWEBFILTER.DLL",2018-09-15 00:29:00,1975-11-15 21:35:20,627200,A,0x000A6EE7,0x000A6EE7,x86,Console,"CV,Unknown",0x10000000,Unknown,0x0009E000,Not Loaded,10.0.17763.1,10.0.17763.1,10.0,14.13,10.0,10.0
DE,"c:\windows\system32\WTSAPI32.DLL",2018-09-15 00:29:02,2070-11-20 21:55:16,52864,A,0x0000FCC0,0x0000FCC0,x86,Console,"CV,Unknown",0x30000000,Unknown,0x0000F000,Not Loaded,10.0.17763.1,10.0.17763.1,10.0,14.13,10.0,10.0
